date,venue,p50_ms,p95_ms
2026-07-06,bitstamp,3.35,95.12
2026-07-06,coinbase,9.76,13.3
2026-07-06,gemini,14.62,34.08
2026-07-06,kraken,17.11,21.31
2026-07-07,binanceus,11.42,12.33
2026-07-07,bitfinex,12.21,14.77
2026-07-07,bitstamp,27.47,79.78
2026-07-07,coinbase,10.18,22.64
2026-07-07,cryptocom,189.99,228.5
2026-07-07,gemini,19.73,76.82
2026-07-07,kraken,20.52,29.09
2026-07-07,kucoin,178.62,208.0
2026-07-07,okx,248.08,286.98
2026-07-08,binanceus,10.86,11.69
2026-07-08,bitfinex,14.41,16.93
2026-07-08,bitstamp,5.74,64.18
2026-07-08,coinbase,13.26,17.42
2026-07-08,cryptocom,196.49,208.94
2026-07-08,gemini,20.8,106.17
2026-07-08,kraken,14.88,18.49
2026-07-08,kucoin,168.33,187.78
2026-07-08,okx,235.79,248.02
2026-07-09,binanceus,11.46,11.91
2026-07-09,bitfinex,11.67,15.87
2026-07-09,bitstamp,5.39,11.42
2026-07-09,coinbase,8.27,10.13
2026-07-09,cryptocom,195.55,201.85
2026-07-09,gemini,21.26,74.66
2026-07-09,kraken,13.47,47.68
2026-07-09,kucoin,171.07,196.32
2026-07-09,okx,245.61,267.69
2026-07-10,binanceus,12.26,14.26
2026-07-10,bitfinex,11.31,15.08
2026-07-10,bitstamp,10.72,101.14
2026-07-10,coinbase,12.99,15.43
2026-07-10,cryptocom,179.83,184.45
2026-07-10,gemini,20.35,25.13
2026-07-10,kraken,14.2,19.84
2026-07-10,kucoin,169.24,183.47
2026-07-10,okx,226.03,260.29
2026-07-11,binanceus,11.28,12.98
2026-07-11,bitfinex,14.74,23.2
2026-07-11,bitstamp,10.66,108.59
2026-07-11,coinbase,9.74,13.46
2026-07-11,cryptocom,179.31,187.03
2026-07-11,gemini,20.53,79.58
2026-07-11,kraken,14.99,19.34
2026-07-11,kucoin,167.7,182.48
2026-07-11,okx,220.44,247.64
2026-07-12,binanceus,11.11,12.86
2026-07-12,bitfinex,10.1,12.17
2026-07-12,bitstamp,14.42,106.99
2026-07-12,coinbase,13.77,18.06
2026-07-12,cryptocom,176.82,183.27
2026-07-12,gemini,24.09,2814.7
2026-07-12,kraken,13.84,41.66
2026-07-12,kucoin,168.43,198.19
2026-07-12,okx,215.97,221.65
2026-07-13,binanceus,11.3,12.52
2026-07-13,bitfinex,11.79,13.05
2026-07-13,bitstamp,11.61,55.71
2026-07-13,coinbase,9.09,11.04
2026-07-13,cryptocom,184.4,193.13
2026-07-13,gemini,18.93,24.44
2026-07-13,kraken,14.48,20.47
2026-07-13,kucoin,169.3,195.0
2026-07-13,okx,243.41,266.06
2026-07-14,binanceus,11.4,13.48
2026-07-14,bitfinex,9.49,10.97
2026-07-14,bitstamp,9.36,109.08
2026-07-14,coinbase,11.6,24.09
2026-07-14,cryptocom,177.23,183.81
2026-07-14,gemini,21.8,120.92
2026-07-14,kraken,12.09,14.84
2026-07-14,kucoin,166.75,189.12
2026-07-14,okx,230.26,251.34
